paper,year,category,sample_size,variance,stat_tests,drift,overhead,noise_model,reproducibility,neg_results
White,2025,Fundamental Limits,yes,yes,no,partial,yes,yes,yes,yes
Franca & Garcia-Patron,2022,Fundamental Limits,na,na,na,na,yes,yes,na,yes
Saki et al.,2023,Experimental,yes,yes,yes,partial,yes,partial,yes,yes
Govia et al.,2025,Experimental,yes,yes,yes,yes,yes,yes,yes,yes
Maupin et al.,2024,Experimental,yes,yes,partial,yes,yes,yes,yes,partial
Kurita et al.,2023,Experimental,yes,yes,yes,na,partial,yes,partial,yes
Russo et al.,2023,Experimental,yes,yes,no,no,partial,yes,yes,partial
Kim et al. (stabilized),2025,Experimental,yes,yes,yes,yes,yes,yes,yes,yes
Weaving et al.,2023,Experimental,yes,yes,partial,partial,partial,yes,yes,yes
Dutkiewicz et al.,2025,Experimental,yes,yes,partial,na,yes,yes,yes,yes
Amin et al.,2023,Experimental,yes,no,no,yes,partial,yes,partial,yes
Kim et al. (utility),2023,Experimental,yes,yes,yes,yes,yes,yes,yes,yes
Roy et al.,2024,Experimental,yes,partial,no,no,partial,yes,yes,yes
Shi & Malaney,2023,Experimental,yes,no,no,partial,partial,yes,partial,partial
Venere et al.,2024,Experimental,no,no,no,na,partial,partial,partial,partial
Bultrini et al.,2023,Benchmarking,yes,yes,partial,na,yes,yes,partial,yes
Cirstoiu et al.,2023,Benchmarking,yes,yes,partial,partial,yes,yes,yes,yes
Prodius et al.,2025,Benchmarking,yes,yes,partial,na,yes,yes,yes,partial
Mamedaliev et al.,2026,Benchmarking,yes,yes,partial,na,yes,partial,yes,yes
Moguel et al.,2024,Benchmarking,na,na,na,na,na,na,yes,yes
Zheng et al.,2023,Benchmarking,partial,partial,partial,no,partial,yes,yes,partial
Hirasaki et al.,2023,Reproducibility & Drift,yes,yes,yes,yes,partial,partial,partial,partial
Senapati et al. (2023),2023,Reproducibility & Drift,partial,partial,partial,partial,yes,partial,partial,yes
Senapati et al. (2024),2024,Reproducibility & Drift,yes,yes,partial,yes,no,partial,no,yes
Cai et al.,2023,Reviews & Surveys,na,yes,na,partial,yes,yes,na,yes
Bharti,2022,Reviews & Surveys,na,na,na,na,na,na,na,na
Lorenz et al.,2025,Reviews & Surveys,na,na,na,na,na,na,na,na
Njoki,2024,Reviews & Surveys,na,na,na,na,na,na,na,na
Regent,2025,Reviews & Surveys,na,na,na,na,na,na,na,na
Khan,2025,Reviews & Surveys,na,na,na,na,na,na,na,na
Younis et al.,2024,Reviews & Surveys,na,na,na,na,na,na,na,na
LaRose et al. (Mitiq),2022,Reviews & Surveys,yes,yes,no,no,yes,partial,yes,yes
AbuGhanem,2024,Reviews & Surveys,na,na,na,na,na,na,na,na
Hilder et al.,2022,Adjacent Topics,yes,yes,partial,na,na,partial,partial,yes
Noel et al.,2022,Adjacent Topics,yes,yes,partial,partial,no,partial,yes,partial
Wu et al.,2022,Adjacent Topics,no,no,no,na,partial,yes,yes,partial
English et al.,2025,Adjacent Topics,na,na,na,na,yes,yes,partial,yes
Chernyak et al.,2026,Adjacent Topics,yes,yes,partial,na,partial,na,yes,yes
Etim & Szefer,2025,Adjacent Topics,yes,partial,na,na,na,partial,yes,yes
Acharya et al. (Willow),2025,Adjacent Topics,yes,yes,yes,yes,yes,yes,yes,yes
Sahu & Gupta,2024,Adjacent Topics,partial,yes,no,na,partial,yes,partial,partial
Tindall et al.,2024,Adjacent Topics,partial,partial,no,na,partial,na,yes,partial
Campbell et al.,2023,Adjacent Topics,yes,yes,no,no,partial,partial,yes,partial
Halder et al.,2023,QEM Methods,partial,yes,partial,partial,yes,yes,partial,yes
Patil et al.,2023,QEM Methods,yes,yes,yes,partial,yes,yes,yes,yes
Weidinger et al.,2023,QEM Methods,yes,yes,partial,no,partial,yes,partial,partial
Pelofske et al.,2024,Benchmarking,yes,yes,partial,partial,yes,yes,yes,yes
Schultz et al.,2022,Fundamental Limits,yes,yes,partial,partial,yes,yes,yes,yes
Huang et al.,2023,Reviews & Surveys,na,na,na,na,na,na,na,na
Czarnik et al.,2021,Foundational,yes,yes,partial,no,yes,yes,yes,yes
Wang et al.,2021,Foundational,yes,yes,partial,no,yes,yes,partial,yes
Urbanek et al.,2021,Foundational,yes,yes,no,no,partial,yes,partial,yes
