paper,criterion,csv_column,csv_rating,scan_candidate,direction,n_strong,n_weak
Sahu & Gupta,C5,overhead,partial,no,DOWNGRADE,0,0
Sahu & Gupta,C7,reproducibility,partial,yes,UPGRADE,25,0
Saki et al.,C5,overhead,yes,no,DOWNGRADE,0,0
Saki et al.,C8,neg_results,yes,partial,DOWNGRADE,0,8
Schultz et al.,C4,drift,yes,partial,DOWNGRADE,0,3
Schultz et al.,C5,overhead,yes,partial,DOWNGRADE,0,68
Schultz et al.,C7,reproducibility,partial,yes,UPGRADE,3,2
Schultz et al.,C8,neg_results,yes,partial,DOWNGRADE,0,4
Seif et al.,C5,overhead,yes,partial,DOWNGRADE,0,15
Seif et al.,C7,reproducibility,partial,no,DOWNGRADE,0,0
Seif et al.,C8,neg_results,yes,partial,DOWNGRADE,0,8
Senapati et al. (2023),C1,sample_size,partial,no,DOWNGRADE,0,0
Senapati et al. (2023),C2,variance,yes,partial,DOWNGRADE,0,1
Senapati et al. (2023),C4,drift,yes,partial,DOWNGRADE,0,6
Senapati et al. (2023),C5,overhead,no,partial,UPGRADE,0,1
Senapati et al. (2023),C8,neg_results,yes,partial,DOWNGRADE,0,1
Senapati et al. (2024),C1,sample_size,yes,no,DOWNGRADE,0,0
Senapati et al. (2024),C4,drift,yes,partial,DOWNGRADE,0,16
Senapati et al. (2024),C5,overhead,no,partial,UPGRADE,0,1
Senapati et al. (2024),C8,neg_results,yes,partial,DOWNGRADE,0,10
Shi & Malaney,C1,sample_size,yes,no,DOWNGRADE,0,0
Shi & Malaney,C2,variance,partial,no,DOWNGRADE,0,0
Shi & Malaney,C4,drift,no,partial,UPGRADE,0,8
Shi & Malaney,C5,overhead,yes,partial,DOWNGRADE,0,3
Shi & Malaney,C6,noise_model,partial,yes,UPGRADE,2,5
Shi & Malaney,C7,reproducibility,partial,yes,UPGRADE,17,1
Shi & Malaney,C8,neg_results,yes,partial,DOWNGRADE,0,2
Takagi et al. (2022),C8,neg_results,yes,partial,DOWNGRADE,0,5
Takagi et al. (2023),C1,sample_size,yes,no,DOWNGRADE,0,0
Takagi et al. (2023),C7,reproducibility,partial,yes,UPGRADE,1,0
Tindall et al.,C1,sample_size,partial,yes,UPGRADE,1,0
Tindall et al.,C2,variance,partial,no,DOWNGRADE,0,0
Tindall et al.,C5,overhead,partial,yes,UPGRADE,1,3
Tran et al.,C1,sample_size,partial,yes,UPGRADE,4,0
Tran et al.,C7,reproducibility,partial,no,DOWNGRADE,0,0
Urbanek et al.,C5,overhead,partial,no,DOWNGRADE,0,0
Urbanek et al.,C7,reproducibility,partial,no,DOWNGRADE,0,0
Urbanek et al.,C8,neg_results,partial,yes,UPGRADE,1,1
Venere et al.,C1,sample_size,partial,no,DOWNGRADE,0,0
Venere et al.,C2,variance,partial,no,DOWNGRADE,0,0
Venere et al.,C5,overhead,no,partial,UPGRADE,0,1
Venere et al.,C7,reproducibility,partial,yes,UPGRADE,1,1
Wahl et al.,C1,sample_size,yes,no,DOWNGRADE,0,0
Wahl et al.,C2,variance,partial,yes,UPGRADE,4,0
Wahl et al.,C3,stat_tests,partial,yes,UPGRADE,2,4
Wahl et al.,C6,noise_model,partial,yes,UPGRADE,3,8
Wang et al.,C4,drift,partial,no,DOWNGRADE,0,0
Wang et al.,C7,reproducibility,partial,yes,UPGRADE,23,0
Wang et al.,C8,neg_results,yes,partial,DOWNGRADE,0,2
Weaving et al.,C5,overhead,partial,yes,UPGRADE,1,4
Weaving et al.,C6,noise_model,yes,partial,DOWNGRADE,0,2
Weaving et al.,C8,neg_results,yes,partial,DOWNGRADE,0,4
Weidinger et al.,C4,drift,partial,no,DOWNGRADE,0,0
Weidinger et al.,C5,overhead,partial,yes,UPGRADE,1,4
Weidinger et al.,C7,reproducibility,partial,yes,UPGRADE,4,0
White,C3,stat_tests,partial,yes,UPGRADE,5,149
White,C4,drift,yes,partial,DOWNGRADE,0,5
White,C5,overhead,yes,partial,DOWNGRADE,0,24
White,C7,reproducibility,yes,no,DOWNGRADE,0,0
Wu et al.,C1,sample_size,yes,no,DOWNGRADE,0,0
Wu et al.,C2,variance,partial,no,DOWNGRADE,0,0
Wu et al.,C3,stat_tests,no,yes,UPGRADE,1,0
Wu et al.,C7,reproducibility,partial,yes,UPGRADE,9,0
Younis et al.,C7,reproducibility,no,yes,UPGRADE,2,1
Younis et al.,C8,neg_results,partial,yes,UPGRADE,1,30
Zhang et al.,C5,overhead,yes,partial,DOWNGRADE,0,20
Zheng et al.,C1,sample_size,partial,yes,UPGRADE,5,3
Zheng et al.,C2,variance,yes,no,DOWNGRADE,0,0
Zheng et al.,C4,drift,partial,no,DOWNGRADE,0,0
Zheng et al.,C5,overhead,partial,no,DOWNGRADE,0,0
Zheng et al.,C6,noise_model,yes,partial,DOWNGRADE,0,17
Zheng et al.,C8,neg_results,partial,no,DOWNGRADE,0,0
van den Berg et al. (2022),C5,overhead,yes,partial,DOWNGRADE,0,7
van den Berg et al. (2022),C7,reproducibility,yes,no,DOWNGRADE,0,0
