Iter;Problem;QPU;Qubits;Searched;Dec;Bin;Expected;Obtained;Error
5;Grover_2num_5Q;ibm_brisbane;5;2;27;'11011;0;174;174
5;Grover_2num_5Q;ibm_brisbane;5;2;28;'11100;0;194;194
5;Grover_2num_5Q;ibm_brisbane;5;2;29;'11101;0;188;188
5;Grover_2num_5Q;ibm_brisbane;5;2;30;'11110;0;197;197
5;Grover_2num_5Q;ibm_brisbane;5;2;31;'11111;2990;189;2801
6;Grover_2num_5Q;ibm_brisbane;5;2;0;'00000;2990;200;2790
6;Grover_2num_5Q;ibm_brisbane;5;2;1;'00001;0;183;183
6;Grover_2num_5Q;ibm_brisbane;5;2;2;'00010;0;199;199
6;Grover_2num_5Q;ibm_brisbane;5;2;3;'00011;0;155;155
6;Grover_2num_5Q;ibm_brisbane;5;2;4;'00100;0;185;185
6;Grover_2num_5Q;ibm_brisbane;5;2;5;'00101;0;186;186
6;Grover_2num_5Q;ibm_brisbane;5;2;6;'00110;0;198;198
6;Grover_2num_5Q;ibm_brisbane;5;2;7;'00111;0;180;180
6;Grover_2num_5Q;ibm_brisbane;5;2;8;'01000;0;197;197
6;Grover_2num_5Q;ibm_brisbane;5;2;9;'01001;0;203;203
6;Grover_2num_5Q;ibm_brisbane;5;2;10;'01010;0;212;212
6;Grover_2num_5Q;ibm_brisbane;5;2;11;'01011;0;174;174
6;Grover_2num_5Q;ibm_brisbane;5;2;12;'01100;0;213;213
6;Grover_2num_5Q;ibm_brisbane;5;2;13;'01101;0;179;179
6;Grover_2num_5Q;ibm_brisbane;5;2;14;'01110;0;210;210
6;Grover_2num_5Q;ibm_brisbane;5;2;15;'01111;0;211;211
6;Grover_2num_5Q;ibm_brisbane;5;2;16;'10000;0;193;193
6;Grover_2num_5Q;ibm_brisbane;5;2;17;'10001;0;156;156
6;Grover_2num_5Q;ibm_brisbane;5;2;18;'10010;0;172;172
6;Grover_2num_5Q;ibm_brisbane;5;2;19;'10011;0;192;192
6;Grover_2num_5Q;ibm_brisbane;5;2;20;'10100;0;181;181
6;Grover_2num_5Q;ibm_brisbane;5;2;21;'10101;0;169;169
6;Grover_2num_5Q;ibm_brisbane;5;2;22;'10110;0;174;174
6;Grover_2num_5Q;ibm_brisbane;5;2;23;'10111;0;154;154
6;Grover_2num_5Q;ibm_brisbane;5;2;24;'11000;0;196;196
6;Grover_2num_5Q;ibm_brisbane;5;2;25;'11001;0;169;169
6;Grover_2num_5Q;ibm_brisbane;5;2;26;'11010;0;203;203
6;Grover_2num_5Q;ibm_brisbane;5;2;27;'11011;0;171;171
6;Grover_2num_5Q;ibm_brisbane;5;2;28;'11100;0;213;213
6;Grover_2num_5Q;ibm_brisbane;5;2;29;'11101;0;185;185
6;Grover_2num_5Q;ibm_brisbane;5;2;30;'11110;0;184;184
6;Grover_2num_5Q;ibm_brisbane;5;2;31;'11111;2990;183;2807
7;Grover_2num_5Q;ibm_brisbane;5;2;0;'00000;2990;197;2793
7;Grover_2num_5Q;ibm_brisbane;5;2;1;'00001;0;195;195
7;Grover_2num_5Q;ibm_brisbane;5;2;2;'00010;0;175;175
7;Grover_2num_5Q;ibm_brisbane;5;2;3;'00011;0;171;171
